Timestamp,DeviceName,InitiatingProcessAccountName,InitiatingProcessFileName,InitiatingProcessFolderPath,LocalIP,LocalPort,RemoteIP,RemotePort,RemoteUrl,Protocol,InitiatingProcessCommandLine
"Aug 21, 2025 1:17:55 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,127.0.0.1,52415,127.0.0.1,52414,,Tcp,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 5860 DisableNetwork 1"
"Aug 21, 2025 1:17:55 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,127.0.0.1,52414,,,,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 5860 DisableNetwork 1"
"Aug 21, 2025 1:17:43 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,127.0.0.1,52407,127.0.0.1,52406,,Tcp,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 5860 DisableNetwork 1"
"Aug 21, 2025 1:17:43 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,127.0.0.1,52406,,,,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 5860 DisableNetwork 1"
"Aug 21, 2025 1:17:37 PM",abbas-test-vm-m,azureuser,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,127.0.0.1,52402,127.0.0.1,52401,,Tcp,firefox.exe
"Aug 21, 2025 1:17:37 PM",abbas-test-vm-m,azureuser,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,127.0.0.1,52401,,,,TcpV4,firefox.exe
"Aug 21, 2025 1:12:00 PM",abbas-test-vm-m,azureuser,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,127.0.0.1,52163,127.0.0.1,9150,,Tcp,firefox.exe
"Aug 21, 2025 1:11:48 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52148,164.132.75.248,8000,,Tcp,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:48 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52143,88.99.145.25,9993,,Tcp,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:48 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52139,195.201.241.87,9090,,Tcp,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
